CIDADE,ESTADO,REGIÃO,SISTEMA,OPERADORA,TIPOLOGIA DO VEÍCULO,ESTAÇÕES (nº),BICICLETAS ELÉTRICAS (nº),BICICLETAS (nº),PATINETES ELÉTRICOS (nº),VIAGENS DIÁRIAS (nº) (média),MÉDIA DISTÂNCIA PERCORRIDA POR DIA (km) (média),USUÁRIOS (nº),MULHERES (%),HOMENS (%), (%) 15 até 29 anos,(%) 30 até 59 anos,(%) Acima de 60,Emissões de CO² evitadas (tCO2e),Fonte e Escopo Temporal
Fortaleza,Ceará,Nordeste,Bicicleta Integrada,Serttel,Bicicleta,7,,350,,128,,8436,35.40%,64.60%,33.59%,62.81%,3.59%,,
Brasília,Distrito Federal,Centro-Oeste,Mais Bike,Serttel,Bicicleta,50,,500,,830,6003.67,36665,40.44%,59.56%,51.89%,46.70%,1.41%,0.2600,
Petrolina,Pernambuco,Nordeste,Petrobike,Serttel,Bicicleta,7,,70,,1,8.4,69,40.58%,59.42%,36.23%,63.77%,0.00%,0.0003,
Goiânia,Goiás,Centro-Oeste,GynDebike,Serttel,Bicicleta,20,,200,,206,2111.07,6198,45.19%,54.81%,45.87%,52.57%,1.57%,0.0500,
Belo Horizonte,Minas Gerais,Sudeste,Bike BH,Serttel,Bicicleta,14,,140,,158,2359.47,1049,45.57%,54.43%,43.37%,54.62%,2.00%,0.0900,
Serra,Espírito Santo,Sudeste,Bike Serra,Serttel,Bicicleta,20,,200,,177,2147.60,4148,49.04%,50.96%,40.02%,58.32%,1.66%,0.0800,
Fortaleza,Ceará,Nordeste,Bicicletar,Serttel,Bicicleta,85,,850,,1317,16594.2,57078,49.68%,50.32%,64.74%,33.83%,1.43%,0.3700,
Santos,São Paulo,Sudeste,Bike Santos,Serttel,Bicicleta,37,,370,,1521,9582.3,22753,50.22%,49.78%,46.29%,50.71%,3.00%,0.2900,
Vitória,Espírito Santo,Sudeste,Bike Vitória,Serttel,Bicicleta,33,,330,,655,5807.67,15752,50.66%,49.34%,44.06%,53.76%,2.18%,0.2000,
São José dos Campos,São Paulo,Sudeste,Bike Sanja,Serttel,Bicicleta,dockless,,100,,31,383,2643,58.88%,41.12%,43.24%,54.26%,2.50%,0.0100,
Belém,Pará,Norte,Bike Belém,Tembici,Bicicleta,,,,,60,,,,,,,,,
Belo Horizonte,Minas Gerais,Sudeste,Grin-Bicicletas,Grow,Bicicleta,dockless,,164,,630,1498.32,28549,,,54.15%,44.44%,1.41%,0.0600,
Belo Horizonte,Minas Gerais,Sudeste,Grin-Patinetes,Grow,Patinete Eletrico,dockless,,,,,1749.92,,,,44.51%,53.82%,1.67%,0.0700,
Bertioga,São Paulo,Sudeste,Rivibike,Tembici,Bicicleta,,,,,34,366.94,,,,,,,0.0100,
Brasília,Distrito Federal,Centro-Oeste,Grin-Bicicletas,Grow,Bicicleta,dockless,,384,,1216,3907.61,55192,,,39.52%,58.80%,1.68%,0.1800,
Brasília,Distrito Federal,Centro-Oeste,Grin-Patinetes,Grow,Patinete Eletrico,dockless,,,,,4320.31,,,,35.55%,63.00%,1.45%,0.2000,
Campinas,São Paulo,Sudeste,Grin-Bicicletas,Grow,Bicicleta,dockless,,145,,409,720.87,14538,,,62.61%,35.79%,1.60%,0.0200,
Campinas,São Paulo,Sudeste,Grin-Patinetes,Grow,Patinete Eletrico,dockless,,,,,1209.1,,,,44.72%,53.70%,1.58%,0.0300,
