CIDADE,ESTADO,REGIÃO,SISTEMA,OPERADORA,TIPOLOGIA DO VEÍCULO,ESTAÇÕES (nº),BICICLETAS ELÉTRICAS (nº),BICICLETAS (nº),PATINETES ELÉTRICOS (nº),VIAGENS DIÁRIAS (nº) (média),MÉDIA DISTÂNCIA PERCORRIDA POR DIA (km) (média),USUÁRIOS (nº),MULHERES (%),HOMENS (%), (%) 15 até 29 anos,(%) 30 até 59 anos,(%) Acima de 60,Emissões de CO² evitadas (tCO2e),Fonte e Escopo Temporal
Manaus,Amazonas,Norte,Manôbike,Tembici,Bicicleta,,,,,,,,,,,,,,
Salvador,Bahia,Nordeste,Bike Salvador,Tembici,Bicicleta,50,,400,,1284,8263.34,,28.55%,65.83%,40.61%,51.13%,3.95%,0.21,
Fortaleza,Ceará,Nordeste,Bicicleta Integrada,Serttel,Bicicleta,7,,350,,128,,8436,35.40%,64.60%,33.59%,62.81%,3.59%,,
Fortaleza,Ceará,Nordeste,Bicicletar,Serttel,Bicicleta,85,,850,,1317,"16594,20",57078,49.68%,50.32%,64.74%,33.83%,1.43%,0.37,
Brasília,Distrito Federal,Centro-Oeste,Yellow,Grow,Bicicleta,dockless,,384.25,,1216,3907.61,971,,,39.52%,58.80%,1.68%,0.18,
Brasília,Distrito Federal,Centro-Oeste,Mais Bike,Serttel,Bicicleta,50,,500,,830,"6003,67",36665,40.44%,59.56%,51.89%,46.70%,1.41%,0.26,
Brasília,Distrito Federal,Centro-Oeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,4320.31,,,,35.55%,63.00%,1.45%,0.20,
Serra,Espírito Santo,Sudeste,Bike Serra,Serttel,Bicicleta,20,,200,,177,"2147,60",4148,49.04%,50.96%,40.02%,58.32%,1.66%,0.08,
Vila Velha,Espírito Santo,Sudeste,Bike VV,Tembici,Bicicleta,20,,200,,2059,10686.35,,30.91%,59.60%,37.46%,47.25%,3.24%,0.39,
Vila Velha,Espírito Santo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,,,,,,,,,
Vitória,Espírito Santo,Sudeste,Yellow,Grow,Bicicleta,dockless,,331.53,,1909,3895.15,1361,,,45.07%,52.86%,2.08%,0.14,
Vitória,Espírito Santo,Sudeste,Bike Vitória,Serttel,Bicicleta,33,,330,,655,"5807,67",15752,50.66%,49.34%,44.06%,53.76%,2.18%,0.2,
Vitória,Espírito Santo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,2181.13,,,,35.89%,62.17%,1.94%,0.08,
