CIDADE,ESTADO,REGIÃO,SISTEMA,OPERADORA,TIPOLOGIA DO VEÍCULO,ESTAÇÕES (nº),BICICLETAS ELÉTRICAS (nº),BICICLETAS (nº),PATINETES ELÉTRICOS (nº),VIAGENS DIÁRIAS (nº) (média),MÉDIA DISTÂNCIA PERCORRIDA POR DIA (km) (média),USUÁRIOS (nº),MULHERES (%),HOMENS (%),(%) 15 até 29 anos,(%) 30 até 59 anos,(%) Acima de 60,Emissões de CO² evitadas (tCO2e),Fonte e Escopo Temporal
Belém,Pará,Norte,Bike Belém,Tembici,Bicicleta,,,,,60.00,,,,,,,,,
Belo Horizonte,Minas Gerais,Sudeste,Yellow,Grow,Bicicleta,dockless,,164.00,,630.00,1498.32,492.00,,,54.15%,44.44%,1.41%,0.06,
Belo Horizonte,Minas Gerais,Sudeste,Bike BH,Serttel,Bicicleta,14.00,,140.00,,158.00,2359.47,1049.00,45.57%,54.43%,43.37%,54.62%,2.00%,0.09,
Belo Horizonte,Minas Gerais,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1749.92,,,,44.51%,53.82%,1.67%,0.07,
Bertioga,São Paulo,Sudeste,Rivibike,Tembici,Bicicleta,,,,,34.00,366.94,,,,,,,0.01,
Brasília,Distrito Federal,Centro-Oeste,Yellow,Grow,Bicicleta,dockless,,384.00,,1216.00,3907.61,971.00,,,39.52%,58.80%,1.68%,0.18,
Brasília,Distrito Federal,Centro-Oeste,Mais Bike,Serttel,Bicicleta,50.00,,500.00,,830.00,6003.67,36665.00,40.44%,59.56%,51.89%,46.70%,1.41%,0.26,
Brasília,Distrito Federal,Centro-Oeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,4320.31,,,,35.55%,63.00%,1.45%,0.20,
Campinas,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,145.00,,409.00,720.87,317.00,,,62.61%,35.79%,1.60%,0.02,
Campinas,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1209.10,,,,44.72%,53.70%,1.58%,0.03,
Curitiba,Paraná,Sul,Yellow,Grow,Bicicleta,dockless,,199.00,,1589.00,4202.72,1259.00,,,52.01%,46.62%,1.38%,0.13,
Curitiba,Paraná,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,2681.07,,,,46.60%,52.21%,1.19%,0.08,
Florianópolis,Santa Catarina,Sul,Yellow,Grow,Bicicleta,dockless,,122.00,,389.00,1378.44,314.00,,,47.54%,50.49%,1.98%,0.05,
Florianópolis,Santa Catarina,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,1797.73,,,,38.60%,59.87%,1.54%,0.07,
